ID|Title|SpecificationStep|Sect|ImplementationStep
12|Define Packet Allocation Policy|Define the allocation policy for the packets which the application creates when it receives a command or report.|\ref{sec:PcktImpl}|The packet allocation policy is implemented in the \texttt{make} function of the \texttt{CrFwPckt.h} interface. The application developer must provide a complete implementation for this interface. A stub implementation is provided in the configuration directory \texttt{/cr/src/crConfigTestSuite}.
13|Define Command and Report Capacity|Define: the maximum number of incoming commands which the target application can hold at any given time; the maximum number of incoming reports which the target application can hold at any given time; and the maximum number of outgoing commands or reports which the application can hold at any given time. ||The capacities for incoming commands and reports are defined as \texttt{\#DEFINE} constants in \texttt{CrFwInFactoryUserPar.h}. The capacity for out-going commands and reports is defined as a \texttt{\#DEFINE} constant in \texttt{CrFwOutFactoryUserPar.h}.
14|Define Application Modes|Define the sub-states in the states of the Application State Machine.|\ref{sec:AppStartUp}|For each set of sub-states, a state machine implementing them is defined which is then embedded in one of the states of the Application State Machine. The embedded state machines are defined in \texttt{CrFwAppSmUserApp.h}. 
15|Define Incoming Middleware Interface|Define the interface to the middleware which is responsible for receiving the commands and reports for the target application.|\ref{sec:InStream}|For each source of commands or reports, one InStream is defined. The size of the InStream packet queues and the pointers to the functions which implement the InStream operations are defined in \texttt{CrFwInStreamUserPar.h}. Also, for each InStream a C module must be defined which implements the InStream functions. A test stub is provided in \texttt{CrFwInStreamStub}.
16|Define Out-Going Middleware Interface|Define the interface to the middleware which is responsible for sending the commands and reports originating in the target application.|\ref{sec:OutStream}|For each command or report destination, one OutStream is defined. The size of the OutStream packet queues and the pointers to the functions which implement the OutStream operations are defined in \texttt{CrFwOutStreamUserPar.h}. Also, for each OutStream a C module must be defined which implements the OutStream functions. A test stub is provided in \texttt{CrFwOutStreamStub}.
17|Define InManagers|Define the number of InManagers and the size of their Pending Command/Report Lists (PCRLs).||These items are defined as \texttt{\#DEFINE} constants in \texttt{CrFwInManagerUserPar.h}
18|Define InManager Selection Function|Define the logic to select the InManager where an incoming command or report is loaded.|\ref{sec:InLoader}|A pointer to this function is defined in \texttt{CrFwInLoaderUserPar.h}. A default implementation is provided by the InLoader (see \texttt{CrFwInLoader.h}).
19|Define InRegistry|Define the maximum number of commands and reports which can be tracked by the InRegistry.||This item is defined as a \texttt{\#DEFINE} constant in \texttt{CrFwInRegsitryUserPar.h}.
20|Define OutManagers|Define the number of OutManagers and the size of their Pending OutComponent Lists (POCLs).||These items are defined as \texttt{\#DEFINE} constants in \texttt{CrFwOutManagerUserPar.h}.
21|Define OutManager Selection Function|Define the logic to select the OutManager where an out-going command or report is loaded.|\ref{sec:OutLoader}|A pointer to this function is defined in \texttt{CrFwOutLoaderUserPar.h}. A default implementation is provided by the OutLoader (see \texttt{CrFwOutLoader.h}).
22|Define OutRegistry|Define the maximum number of commands and reports which can be tracked by the OutRegistry.||This item is defined as a \texttt{\#DEFINE} constant in \texttt{CrFwOutRegistryUserPar.h}.
23|Define Start-Up Procedure|Define the start-up procedure for the application. This in particular includes the sequence in which framework components are instantiated, initialized and configured.|\ref{sec:AppStartUp}|Implement the Application Start-Up Procedure by providing an implementation for \texttt{CrFwAppStartUpProc.h}. A test stub is provided in \texttt{CrFwAppStartUpProc.c}.
24|Define Reset Procedure|Define the reset procedure for the application. This in particular includes the sequence in which framework components are reset.|\ref{sec:AppStartUp}|Implement the Application Reset Procedure by providing an implementation for \texttt{CrFwAppResetProc.h}. A test stub is provided in \texttt{CrFwAppResetProc.c}.
25|Define Shutdown Procedure|Define the shutdown procedure for the application. This in particular includes the sequence in which framework components are shutdown.|\ref{sec:AppStartUp}|Implement the Application Shutdown Procedure by providing an implementation for \texttt{CrFwAppShutdownProc.h}. A test stub is provided in \texttt{CrFwAppShutdownProc.c}.
26|Define Time Interface|Define the means through which the current time is acquired. This is needed for time-stamping out-going commands and reports in the OutStream.||The time acquisition interface is defined in \texttt{CrFwTime.h}. The application developer must provide a complete implementation for this interface. A stub implementation is provided in the configuration directory \texttt{/cr/src/crConfigTestSuite}.
27|Define Error Reporting Interface|Define the response to the generation of error reports.||The respone to error reports is defined in \texttt{CrFwRepErr.h}. The application developer must provide a complete implementation for this interface. A test implementation is provided in the configuration directory \texttt{/cr/src/crConfigTestSuite}.
28|Define InCommand Outcome Reporting|Define the means through which the outcome of the processing of incoming commands is reported. ||The respone to the reports of InCommand outcomes is defined in \texttt{CrFwRepInCmdOutcome.h}. The application developer must provide a complete implementation for this interface. A test implementation is provided in the configuration directory \texttt{/cr/src/crConfigTestSuite}.
29|Define Primitive Types|Define the range of the primitive types used by the framework components. The driver for this definition is the need to optimize the memory footprint of the application.||The primitive types are defined through \texttt{typedef}'s in \texttt{CrFwUserConstants.h}. Application developers can override the default definitions in this file (but note that, in most cases, the default definitions should be adequate).
