Domain|Domain|Name|Kind|Title|Default Value|CTwoCat|CTwoId|Implementation|Description|Remarks|Parent Req|ValSet|Owner|Rationale
OST|AP-OST|12|SPC|Operation to Report Packet Queue Full|Generate OUTSTREAM\_PQ\_FULL Error Report|0|0|Implemented by Adaptation Point C2-ERR-1.|||OST:5|Default|pasetti|
OST|AP-OST|13|SPC|Operation to Compute and Set a Packet’s CRC|Set CRC to 0xFFFF|C2-OST|9|Implementation of function \texttt{CrFwComputeAndSetCrc} in interface \texttt{CrFwPckt.h}. Only a test stub is provided by default at framework level.|||OST:5|Default|pasetti|
C2-IST|C2-IST|1|IMP|Number of InStreams in the Application|0|C2-IST|1|\texttt{\#DEFINE} constant in \texttt{CrFwInStreamUserPar.h}|||IST:4|Default|pasetti|
IST|AP-IST|1|SPC|Size of the Packet Queue in InStream|Default size is 1|C2-IST|2|\texttt{\#DEFINE} constant (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}|||IST:4|Default|pasetti|
C2-IST|C2-IST|3|IMP|Source associated to InStream|0|C2-IST|3|\texttt{\#DEFINE} constant (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}|||IST:4|Default|pasetti|
IST|AP-IST|2|SPC|Initialization Check in Initialization Procedure of InStream|Returns 'check successful' if the size of the Packet Queue has been set to a positive integer|C2-IST|4|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|||IST:4|Default|pasetti|
IST|AP-IST|3|SPC|Initialization Action in Initialization Procedure of InStream|Allocate resources for Packet Queue and return 'Action Successful' iff the allocation succeeds|C2-IST|5|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|||IST:4|Default|pasetti|
IST|AP-IST|4|SPC|Configuration Action in Reset Procedure of InStream|Reset the Packet Queue and return 'Action Successful'|C2-IST|6|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|||IST:4|Default|pasetti|
IST|AP-IST|5|SPC|Shutdown Action of InStream|Reset the Packet Queue|C2-IST|7|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Default implementation is provided in \texttt{CrFwInStream.h}.|||IST:4|Default|pasetti|
IST|AP-IST|6|SPC|Execution Procedure of InStream (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||IST:4|Default|pasetti|
IST|AP-IST|7|SPC|Operation to Get Packet Source from Incoming Packet|No value defined at framework level|0|0|Implemented by Adaptation Point C2-PCK-1.|||IST:4|Default|pasetti|
IST|AP-IST|8|SPC|Operation to Get Packet Sequence Counter from Incoming Packet|No value defined at framework level|0|0|Implemented by Adaptation Point C2-PCK-1.|||IST:4|Default|pasetti|
IST|AP-IST|9|SPC|Operation to Report Sequence Counter Error|Generate INSTREAM\_SC\_ERR Error Report with expected and actual sequence counter values|0|0|Implemented by Adaptation Point C2-ERR-1.|||IST:4|Default|pasetti|
IST|AP-IST|10|SPC|Operation to Report Packet Queue Full|Generate INSTREAM\_PQ\_FULL Error Report |0|0|Implemented by Adaptation Point C2-ERR-1.|||IST:4|Default|pasetti|
IST|AP-IST|11|SPC|Packet Collect Operation for InStream|No default defined at framework level|C2-IST|8|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Only a test stub is provided as default at framework level.|||IST:4|Default|pasetti|
IST|AP-IST|12|SPC|Packet Available Check Operation for InStream|No default defined at framework level|C2-IST|9|Function pointers (one for each InStream in the application) in \texttt{CrFwInStreamUserPar.h}. Only a test stub is provided as default at framework level.|||IST:4|Default|pasetti|
OSR|AP-OSR|1|SPC|Initialization Check in Initialization Procedure of OutStreamRegistry|Same value as in Base Component|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|2|SPC|Initialization Action in Initialization Procedure of OutStreamRegistry|Same value as in Base Component|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|3|SPC|Configuration Check in  Reset Procedure of OutStreamRegistry|Returns 'check successful' if the information to set up the link between the packet destinations and the OutStreams is available.|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|4|SPC|Configuration Action in Reset Procedure of OutStreamRegistry|Set up and configure the link between the packet destinations and the OutStreams.|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|5|SPC|Shutdown Action  of OutStreamRegistry (closes BAS-5)|Same value as in Base Component|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|6|SPC|Execution Procedure of OutStreamRegistry (closes BAS-6)|Same value as in Base Component|0|0|In the C2 Implementation, the OutStreamRegistry is not implemented as a separate component (it is merged with the OutStream). This adaptation point is closed in the C2 Implementation.|||OSR:2|Default|pasetti|
OSR|AP-OSR|7|SPC|Get OutStream Operation of OutStreamRegistry|No default provided at framework level|C2-OST|10|\texttt{\#DEFINE} constants (one for each OutStream in the application) in \texttt{CrFwOutStreamUserPar.h} define the destination associated to each OutStream.|||OSR:2|Default|pasetti|
OCM|AP-OCM|1|SPC|Initialization Check in Initialization Procedure of OutComponent|Same value as in Base Component|0|0|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|2|SPC|Initialization Action in Initialization Procedure of OutComponent|Same value as in Base Component|0|0|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|3|SPC|Configuration Check in Reset Procedure of OutComponent|Same value as in Base Component|0|0|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|4|SPC|Configuration Action in Reset Procedure of OutComponent|Same value as in Base Component|0|0|OutComponents are provided by the OutFactory in the CONFIGURED state and cannot therefore be initialized and configured by the user. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|5|SPC|Shutdown Action in Base Component of OutComponent|Same value as in Base Component|0|0|OutComponents are provided by the OutFactory in the CONFIGURED state and are not intended to be ever shut down. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|6|SPC|Execution Procedure of OutComponent (closes BAS-6)|Same value as in Base Component|0|0|The OutComponents are not intended to be ever executed. This adaptation point is closed in the C2 Implementation.|||OCM:3|Default|pasetti|
OCM|AP-OCM|7|SPC|Service Type Attribute of OutComponent|No default provided at framework level|0|0|This Adaptation Point is implemented by adaptation point OFA-2.|||OCM:3|Default|pasetti|
OCM|AP-OCM|8|SPC|Command/Report Sub-Type Attribute of OutComponent|No default provided at framework level|0|0|This Adaptation Point is implemented by adaptation point OFA-2.|||OCM:3|Default|pasetti|
OCM|AP-OCM|9|SPC|Destination Attribute of OutComponent|No default provided at framework level|0|0|This Adaptation Point is implemented by adaptation point OFA-2.|||OCM:3|Default|pasetti|
OCM|AP-OCM|10|SPC|Acknowledge Level Attribute of OutComponent|Default value is: 'no acknowledge required' (only relevant for OutCommands)|0|0|This Adaptation Point is implemented by adaptation point C2-PCK-1.|||OCM:3|Default|pasetti|
OCM|AP-OCM|11|SPC|Discriminant Attribute of OutComponent|Default value is: 'no discriminant'|0|0|This Adaptation Point is implemented by adaptation point OFA-2.|||OCM:3|Default|pasetti|
OCM|AP-OCM|12|SPC|Parameter Attribute of OutComponent|Default value is: 'no parameters'|0|0|This Adaptation Point is implemented indirectly: applications must extend OutComponents and must define the range of parameters for each OutComponent and the operations to set their values. |||OCM:3|Default|pasetti|
OCM|AP-OCM|13|SPC|Enable Check Operation of OutComponent|Query the OutRegistry for the enable status of the command or report encapsulated in the OutComponent and set value of isEnable accordingly|C2-OCM|1|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|||OCM:3|Default|pasetti|
OCM|AP-OCM|14|SPC|Ready Check Operation of OutComponent|Set value of isReady flag to true|C2-OCM|2|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|||OCM:3|Default|pasetti|
OCM|AP-OCM|15|SPC|Repeat Check Operation of OutComponent|Return “No Repeat”|C2-OCM|3|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|||OCM:3|Default|pasetti|
OCM|AP-OCM|16|SPC|Update Action of OutComponent|Set Time Stamp of OutComponent to current time|C2-OCM|4|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|||OCM:3|Default|pasetti|
OCM|AP-OCM|17|SPC|Serialize Operation of OutComponent|No default defined at framework level|C2-OCM|5|\texttt{\#DEFINE} constants (one for each kind of OutComponent in the application) in \texttt{CrFwOutFactoryUserPar.h} define the pointer to the function implementing the operation. A default is provided a framework level.|||OCM:3|Default|pasetti|
OCM|AP-OCM|18|SPC|Operation to Report Invalid Destination of an OutComponent|Generate SNDPCKT\_INV\_DEST Error Report with invalid destination as a parameter|0|0|Implemented by Adaptation Point C2-ERR-1.|||OCM:3|Default|pasetti|
OLD|AP-OLD|1|SPC|Initialization Check in Initialization Procedure of OutLoader|Returns 'check successful' if the size of the LOM (List of OutManagers) has been set to a positive integer value.|C2-OLD|1|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns 'check successful' is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|2|SPC|Initialization Action in Initialization Procedure  of OutLoader|Allocate resources for LOM and return 'Action Successful' iff the allocation succeeds|C2-OLD|2|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|3|SPC|Configuration Check in Reset Procedure of OutLoader|Returns 'check successful' iff all the information is available to update (or initialize) the value of the LOM.|C2-OLD|3|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns 'check successful' is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|4|SPC|Configuration Action in Reset Procedure of OutLoader|Update (or initialize) the LOM and return 'Action Successful'|C2-OLD|4|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|5|SPC|Shutdown Action of OutLoader|Same as in Base Component.|C2-OLD|5|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|6|SPC|Execution Procedure of OutLoader (closes BAS-6)|Same as in Base Component.|0|0|This Adaptation Point is closed at framework level.|||OLD:2|Default|pasetti|
OLD|AP-OLD|7|SPC|OutManager Selection Operation|Select the first OutManager in the LOM|C2-OLD|6|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which always returns the first OutManager in the LOM is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|8|SPC|OutManager Activation Operation|Do nothing|C2-OLD|7|Function pointer in \texttt{CrFwOutLoaderUserPar.h}. Default implementation which takes no action is provided in \texttt{CrFwOutLoader.h}.|||OLD:2|Default|pasetti|
OLD|AP-OLD|9|SPC|Operation to set Set Time-Stamp in Outgoing Packets|No value defined at framework level|0|0|Implemented by Adaptation Point C2-PCK-1.|||OLD:2|Default|pasetti|
C2-OMG|C2-OMG|1|IMP|Number of OutManagers in Application|0|C2-OMG|1|\texttt{\#DEFINE} constants in \texttt{CrFwOutManagerUserPar.h}|||OMG:2|Default|pasetti|
OMG|AP-OMG|1|SPC|Size of POCL of OutManager|Default size is 1.|C2-OMG|2|\texttt{\#DEFINE} constants (one for each OutManager) in \texttt{CrFwOutManagerUserPar.h}|||OMG:2|Default|pasetti|
OMG|AP-OMG|2|SPC|Initialization Check in Initialization Procedure of OutManager (closes BAS-1)|Returns 'check successful' if the size of the POCL has been set to a positive integer value.|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|3|SPC|Initialization Action in Initialization Procedure of OutManager (closes BAS-2)|Allocate resources for POCL and return 'Action Successful' iff the allocation succeeds|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|4|SPC|Configuration Check in Reset Procedure of OutManager (closes BAS-3)|Same as in Base Component|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|5|SPC|Configuration Action in Reset Procedure  (closes BAS-4)|Release all OutComponents in the POCL; reset the POCL; reset the counter of successfully loaded OutComponents; and return 'Action Successful'|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|6|SPC|Shutdown Action in Base Component of OutManager (closes BAS-5)|Release all OutComponents in the POCL; reset the POCL|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|7|SPC|Execution Procedure in Base Component of OutManager (closes BAS-6)|Implemented as procedure of Manager Execution Procedure|0|0|This Adaptation Point is closed at framework level.|||OMG:2|Default|pasetti|
OMG|AP-OMG|8|SPC|Operation to Report POCL of OutManager Full|Generate OUTMANAGER\_POCL\_FULL Error Report|0|0|Implemented by Adaptation Point C2-ERR-1.|||OMG:2|Default|pasetti|
ORG|AP-ORG|1|SPC|Maximum Number of Trackable Commands/Reports for OutRegistry|Default value is 1.|C2-ORG|1|\texttt{\#DEFINE} constant in \texttt{CrFwOutRegistryUserPar.h} defines types, sub-types and range of discriminant values supported by application.|||OMG:2|Default|pasetti|
C2-ORG|C2-ORG|2|IMP|Number of Service Types/Sub-Types supported by Application|0|C2-ORG|2|\texttt{\#DEFINE} constant in \texttt{CrFwOutRegistryUserPar.h} defines types, sub-types and range of discriminant values supported by application.|||ORG:2|Default|pasetti|
C2-ORG|C2-ORG|3|IMP|Range of Services supported by Application|0|C2-ORG|3|\texttt{\#DEFINE} constant in \texttt{CrFwOutRegistryUserPar.h} defines types, sub-types and range of discriminant values supported by application.|||ORG:2|Default|pasetti|
ORG|AP-ORG|2|SPC|Initialization Check in Initialization Procedure of OutRegistry (closes BAS-1)|Returns 'check successful' if the maximum number of trackable commands/reports has been set to a positive integer value.|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
ORG|AP-ORG|3|SPC|Initialization Action in Initialization Procedure of OutRegistry (closes BAS-2)|Allocate the resources for tracking the commands and reports and returns: 'action successful' if the allocation succeeds or 'action failed' if the allocation fails.|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
ORG|AP-ORG|4|SPC|Configuration Check in Reset Procedure of OutRegistry (closes BAS-3)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
ORG|AP-ORG|5|SPC|Configuration Action in Reset Procedure of OutRegistry (closes BAS-4)|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports; and return: 'action successful'.|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
ORG|AP-ORG|6|SPC|Shutdown Action of OutRegistry (closes BAS-5)|Set the enable state for all kinds of commands and reports to: 'enabled'; clear all information about tracked commands and reports.|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
ORG|AP-ORG|7|SPC|Execution Procedure of OutRegistry (closes BAS-6)|Same value as in Base Component|0|0|This Adaptation Point is closed at framework level.|||ORG:2|Default|pasetti|
C2-PCK|C2-PCK|1|IMP|Operations to Report the Outcome of the Processing and Execution of an Incoming Command|0|C2-PCK|1|Implementation of \texttt{CrFwRepInCmdOutcome.h}. Only a test stub is provided as default at framework level.||||Default|pasetti|
ILD|AP-ILD|1|SPC|Initialization Check in Initialization Procedure of InLoader (closes BAS-1)|Return “check successful' iff the sizes of the LIM is a positive integer|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|2|SPC|Initialization Action in Initialization Procedure of InLoader (closes BAS-2)|Allocate resources for the LIM and return “Action Successful' iff the allocation succeeds|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|3|SPC|Configuration Check in Reset Procedure of InLoader (closes BAS-3)|Returns “check successful' if: (a) the information to update (or initialize) the content of the LIM is valid; and (b) the information to re-route packets is valid.|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|4|SPC|Configuration Action in Reset Procedure of InLoader (closes BAS-4)|(a) update (or initialize) content of LIM; and (b) update (or initialize) packet re-routing information.|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|5|SPC|Shutdown Action of InLoader (closes BAS-5)|Same as in Base Component.|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|6|SPC|Execution Procedure of InLoader (closes BAS-6)|Implemented as InLoader Execution Procedure.|0|0|This Adaptation Point is closed at framework level.|||ILD:2|Default|pasetti|
ILD|AP-ILD|7|SPC|Size of List of InManagers in InLoader|Default size is 2.|0|0|The InLoader of the C2 Implementation does not explicitly define a List of InManager. This Adaptation Point is subsumed in the Adaptation Point for the selection of InManager (C2-ILD-TBD)|||ILD:2|Default|pasetti|
ILD|AP-ILD|8|SPC|Content of List of InManagers in InLoader|No default provided at framework level.|0|0|The InLoader of the C2 Implementation does not explicitly define a List of InManager. It only defines the function to return the InManager where the InReport or InCommand must be loaded (see C2-ILD-2).|||ILD:2|Default|pasetti|
