Domain|Name|Kind|Text|Implementation|Verification|Remarks
IRP|01|S|The CORDET Framework shall provide an InReport component as an extension of the Base Component to encapsulate an incoming report in a user application.|The InReport components are created by function \texttt{CrFwInFactoryMakeInRep} which returns an instance taken from a pool of pre-allocated components. The pre-allocated components are created by function \texttt{InFactoryInitAction} as extensions of a Base InCommand which is created by function \texttt{CrFwInRepMakeBase} and which is itself an extension of a Base State Machine.|The function \texttt{CrFwInFactoryMakeInRep} is verified in test case \texttt{CrFwInRepTestCase1}.|
IRP|02|A|The InReport component shall support the adaptation points IRP-*.|||
IRP|03|S|The InReport component shall provide visibility over the value of all the attributes of the report it encapsulates.|The InReport attributes can be accessed through functions with names like: \texttt{CrFwInRepGet*}.|The \texttt{CrFwInRepGet*} functions are verified in test case \texttt{CrFwInRepTestCase1}.|
IST|01|S|The CORDET Framework shall provide an InStream component as an extension of the Base Component.|The InStream component is created by function \texttt{CrFwInStreamMake} which creates it as an extension of the Base State Machine.|InStream creation is verified in the test cases in \texttt{CrFwOutStreamTestCase.h}.|
IST|02|S|The behaviour of the InStream component in state CONFIGURED shall be as defined by the InStream State Machine of figure \ref{fig:InStream} and by the Packet Collect Procedure of figure \ref{fig:PacketCollect} .|The function \texttt{CrFwInStreamMake} builds an instance of an InStream by first extending a Base State Machine and then embedding within its CONFIGURED state an InStream State Machine. The Packet Collect Procedure is implemented in function \texttt{DoActionB} in \texttt{CrFwInStream.h}.|The behaviour of the InStream State Machine is verified in table \ref{tab:verInStreamSM}``. The behaviour of the Packet Collect Procedure is verified in table \ref{tab:verPcktCollectProc}|
IST|03|S|The Packet Queue in the InStream shall be managed as a FIFO queue.|The packet queue of the InStream uses the implementation of module \texttt{CrFwPcktQueue}.  Module.|FIFO order management of packets in packet queues is verified in \texttt{CrFwPacketQueueTestCase1}.|
IST|04|A|The InStream component shall support the adaptation points IST-*.|||
IST|05|S|The InStream shall provide visibility over the state of its Packet Queue (number of packets in the queue and number of empty slots still available), over the InStream sequence counters, and over the sources associated to the InStream.|The number of pending packet is provided by function \texttt{CrFwInStreamGetNOfPendingPckts}; the queue size is provided by function \texttt{CrFwInStreamGetPcktQueueSize}; the sequence counter values are accessed through function \texttt{CrFwInStreamGetSeqCnt}; the InStream sources are accessed through function \texttt{CrFwInStreamGetSrc}.|The function to check the number of pending items is verified in \texttt{CrFwInStreamTestCase3}; the function to verify the size of the packet queue is verified in \texttt{CrFwInStreamTestCase4}.|
IST|06|C|The InStream shall be used with a middleware which satisfies the Middleware Assumptions B1 to B5.|||
IST|07|C|Deleted|||
IST|08|C|An InStream shall be responsible for handling all packets arriving from one or more packets sources (i.e. all packets originating from the same source go through the same InStream).|||
IST|09|C|An InStream shall only enter state CONFIGURED when its middleware connection has terminated its initialization and is either in state WAITING or PCKT\_AVAIL.|||
OCM|01|S|The CORDET Framework shall provide an OutComponent component as an extension of the Base Component.|The OutComponent components are created by function \texttt{CrFwOutFactoryMakeOutCmp} which returns an instance taken from a pool of pre-allocated components. The pre-allocated components are created by function \texttt{OutFactoryInitAction} as extensions of a Base OutComponent which is created by function \texttt{CrFwOutCmpMakeBase} and which is itself an extension of a Base State Machine.|The function \texttt{CrFwOutFactoryMakeOutCmp} is verified in test cases \texttt{CrFwOutCmpTestCase1} to \texttt{CrFwOutCmpTestCase6}. |
OCM|02|S|The behaviour of the OutComponent in state CONFIGURED shall be as defined by the OutComponent State Machine of figure \ref{fig:OutComponent.}|The function \texttt{CrFwOutCmpMakeBase} builds the Base OutComponent from which all OutComponents are derived by extending the Base State Machine and then embedding within its CONFIGURED state an OutComponent State Machine.|The behaviour of the OutComponent State Machine is verified in table \ref{tab:verOutComponentSM}.|
OCM|03|A|The OutComponent State Machine shall support the adaptation points OCM-*.|||
OCM|04|S|The OutComponent component shall provide access to the attributes of the command or report instance that the OutComponent encapsulates.|The command or report attributes can be accessed through functions with names like: \texttt{CrFwOutCmpGet*}.|The getter functions for the command and report attributes are verified in test case \texttt{CrFwOutCmpTestCase1}.|
OFT|01|S|The OutFactory component shall encapsulate the instance creation process for OutComponent components.|Instances of OutComponents are created by function \texttt{CrFwOutFactoryMakeOutCmp}.|Function  \texttt{CrFwOutFactoryMakeOutCmp} is verified in test case \texttt{CrFwOutFactoryTestCase4}.|
OFT|02|S|The \texttt{Make} operation of the OutFactory component shall take as arguments the service type, command or report sub-type and discriminant value of the command or report to be encapsulated by the OutComponent.|Instances of OutComponents are created by function \texttt{CrFwOutFactoryMakeOutCmp}.|Function  \texttt{CrFwOutFactoryMakeOutCmp} is verified in test case \texttt{CrFwOutFactoryTestCase4}.|
OFT|03|S|The OutComponents returned by the \texttt{Make} operation of the OutFactory shall have their service type, command/report sub-type, and discriminant attribute set in accordance with the value of the arguments of the \texttt{Make} operation.|Instances of OutComponents are created by function \texttt{CrFwOutFactoryMakeOutCmp}.|The correctness of the type, sub-type and discriminant of a newly created OutComponent is verified in test case \texttt{ CrFwOutCmpTestCase1}.|
OFT|04|S|The OutComponents returned by the \texttt{Make} operation of the OutFactory shall have their identifier attribute set to represent the number of components successfully created by the factory since it was initialized.|Instances of OutComponents are created by function \texttt{CrFwOutFactoryMakeOutCmp}.|The correctness of the instance identifier of a newly created OutComponent is verified in test case \texttt{ CrFwOutCmpTestCase1}.|
OFT|05|A|The OutFactory shall support the adaptation points OFT-*.|||
OLD|01|S|The CORDET Framework shall provide an OutLoader component as an extension of the Base Component.|The OutLoader component is created by function \texttt{CrFwOutLoaderMake} which creates it as an extension of the Base State Machine.|OutLoader creation is verified in the test cases in \texttt{CrFwOutLoaderTestCase.h}.|
OLD|02|A|The OutLoader component shall support the adaptation points OLD-*.|||
OLD|03|S|The OutLoader component shall offer a \texttt{Load} operation to load an OutComponent instance into an OutManager.|The Load operation is implemented by function \texttt{CrFwOutLoaderLoad}.|Function \texttt{CrFwOutLoaderLoad} is verified in test case \texttt{CrFwOutLoaderTestCase1}.|
OLD|04|S|Execution of the \texttt{Load} operation shall cause the \texttt{Load Procedure} of figure \ref{fig:OutLoaderLoad} .|The Load operation is implemented by function \texttt{CrFwOutLoaderLoad}.|The Load Procedure has one single branch which is tested in \texttt{CrFwOutLoaderTestCase1}.|
OLD|05|C|An application shall instantiate an OutLoader component only once.|||
OMG|01|S|The CORDET Framework shall provide an OutManager component as an extension of the Base Component.|The OutManager component is created by function \texttt{CrFwOutManagerMake} which creates it as an extension of the Base State Machine.|OutLoader creation is verified in the test cases in \texttt{CrFwOutManagerTestCase.h}.|
OMG|02|A|The OutManager component shall support the Adaptation Points OMG-*.|||
OMG|03|S|The OutManager component shall offer a \texttt{Load} operation to load an OutComponent instance in the POCL.|The Load operation is implemented by function \texttt{CrFwOutManagerLoad}.|Function  \texttt{CrFwOutManagerLoad} is verified in test case \texttt{CrFwOutManagerTestCase2}.|
OMG|04|S|The \texttt{Load} operation shall run the OutManager Load Procedure of figure \ref{fig:OutManagerLoad.}|The OutManager Load Procedure is implemented by function \texttt{CrFwOutManagerLoad}.|The Load Procedure has two branches both of which are verified in test case \texttt{CrFwOutManagerTestCase2}. The 'POCL Full' branch is also verified in test cases \texttt{CrFwOutManagerTestCase3} and \texttt{CrFwOutManagerTestCase4}.|
OMG|05|C|An application shall ensure that the OutComponent components loaded in an OutManager through the OutLoader are in state CONFIGURED.|||
ORG|01|S|The CORDET Framework shall provide an OutRegistry component as an extension of the Base Component.|The OutRegistry component is created by function \texttt{CrFwOutRegistryMake} which creates it as an extension of the Base State Machine.|OutRegistry creation is verified in the test cases in \texttt{CrFwOutManagerTestCase.h}.|
ORG|02|A|The OutRegistry component shall support the adaptation points ORG-*.|||
ORG|03|S|The OutRegistry shall offer a \texttt{StartTracking} operation to run the Registry Start Tracking Procedure of figure \ref{fig:RegistryStartTracking} .|The StartTracking operation is implemented in function \texttt{CrFwOutRegistryStartTracking}.|The Registry Start Tracking Procedure has two branches both of which are verified in test case \texttt{CrFwOutRegistryTestCase7}.|
ORG|04|S|The OutRegistry shall offer an \texttt{Update} operation to run the Registry Update Procedure of figure \ref{fig:RegistryUpdate} .|The Update operation is implemented in function \texttt{CrFwOutRegistryStartTracking}.|The Registry Update Procedure has two branches both of which are verified in test case \texttt{CrFwOutRegistryTestCase7}.|
ORG|05|S|The OutRegistry component shall provide an API through which the state of a command or report in the repository (PENDING, ABORTED, and TERMINATED) can be queried.|The query operation is implemented in function \texttt{CrFwOutRegistryGetState}.|The query function is verified in test cases \texttt{CrFwOutRegistryTestCase7} to \texttt{CrFwOutRegistryTestCase9}. All possible outcomes of the query function (PENDING, NOT\_TRACKED, ABORTED and TERMINATED) are verified.|
ORG|06|S|The OutRegistry component shall provide an API through which the enable state of a service type, service sub-type or discriminant value can be set and read.|The set operation is implemented in function \texttt{CrFwOutRegistrySetEnable}. The get operation is implemented in function \texttt{CrFwOutRegistryIsEnabled}.|Functions \texttt{CrFwOutRegistrySetEnable} and  \texttt{CrFwOutRegistryIsEnabled} are verified in test cases \texttt{CrFwOutRegistryTestCase3} to \texttt{CrFwOutRegistryTestCase6}.|
ORG|07|S|The OutRegistry component shall provide an API through which the enable state of a specific out-going command or report can be determined in accordance with the logic of the Enable State Determination Procedure  of figure \ref{fig:EnableStateDetermination.}|The logic to determine the enable state of an OutComponent is implemented in function \texttt{CrFwOutRegistryIsEnabled}.|The behaviour of the Enable State Determination Procedure e is verified in table \ref{tab:verEnableStateDeterminationProc}.|
ORG|08|S|The OutRegistry shall use the command/report identifier attribute as the key to store and make available information about commands and reports.|The argument of function \texttt{CrFwOutRegistryGetState} is the command or report identifier.|The query function is verified in test cases \texttt{CrFwOutRegistryTestCase7} to \texttt{CrFwOutRegistryTestCase9}. |
ORG|09|C|An application shall instantiate the OutRegistry component only once.|||
OSR|01|S|The CORDET Framework shall provide an OutStreamRegistry component as an extension of the Base Component.|The OutStreamRegistry function is implemented in the OutStream itself (in function \texttt{CrFwOutStreamGet}).|The \texttt{CrFwOutStreamGet} function is verified in test case \texttt{CrFwInStreamTestCase4}.|
OSR|02|A|TheOutStreamRegistry Component shall support the adaptation points OSR-*.|||
OSR|03|S|The OutStreamRegistry component shall define an API offering one operation: \texttt{OutStreamGet}.|The OutStreamGet operation is implemented by function \texttt{CrFwOutStreamGet}.|The \texttt{CrFwOutStreamGet} function is verified in test case \texttt{CrFwInStreamTestCase4}.|
OSR|04|S|The \texttt{OutStreamGet} operation shall either fail and return nothing, or succeed and return the OutStream component associated to the command or report destination specified in its argument.|The OutStreamGet operation is implemented by function \texttt{CrFwOutStreamGet}.|Both kinds of return values for the \texttt{CrFwOutStreamGet} function are verified in test case \texttt{CrFwInStreamTestCase4}.|
OSR|05|S|The encoding of the command or report destination passed in a call to the \texttt{OutStreamGet} operation shall be the same as the encoding of the destination attribute of commands and reports.|The argument of \texttt{CrFwOutStreamGet} is of type \texttt{CrFwDestSrc\_t} and this is the same type as used for a report or command destination in function \texttt{CrFwPcktSetDest}.|The \texttt{CrFwOutStreamGet} function is verified in test case \texttt{CrFwInStreamTestCase4}.|
OSR|06|C|An application shall instantiate the OutStreamRegistry component only once.|||
OST|01|S|The CORDET Framework shall provide an OutStream component as an extension of the Base Component.|The OutStream component is created by function \texttt{CrFwOutStreamMake} which creates it as an extension of the Base State Machine.|OutStream creation is verified in the test cases in \texttt{CrFwOutStreamTestCase.h}.|
OST|02|S|The behaviour of the OutStream component in state CONFIGURED shall be as defined by the OutStream State Machine of figure \ref{fig:OutStream} .|The function \texttt{CrFwOutStreamMake} builds an instance of an OutStream by first extending a Base State Machine and then embedding within its CONFIGURED state an OutStream State Machine.|The behaviour of the OutStream State Machine is verified in table \ref{tab:verOutStreamSM}.|
OST|03|P|The OutStream shall guarantee the OutStream Properties P1 to P4.|||
OST|04|S|The Packet Queue in the OutStream shall be managed as a FIFO queue.|The packet queue of the OutStream uses the implementation of module \texttt{CrFwPcktQueue}.  Module.|FIFO order management of packets in packet queues is verified in \texttt{CrFwPacketQueueTestCase1}.|
OST|05|A|The OutStream component shall support the adaptation points OST-*.|||
OST|06|S|The OutStream shall provide visibility over: (a) the state of its Packet Queue (number of packets in the queue and number of empty slots still available); (b) the current value of its sequence counter and its type counters; (c) the set of destinations, type and sub-types for which it maintains type counters; (d) the set of destinations associated to the OutStreams|The number of pending packet is provided by function \texttt{CrFwOutStreamGetNOfPendingPckts} and the queue size is provided by function \texttt{CrFwOutStreamGetPcktQueueSize}. The current value of the sequence counters and type counters are provided by functions \texttt{CrFwOutStreamGetSeqCntSeqCnt} and \texttt{CrFwOutStreamGetTypeCounter}. The set of destinations, type and sub-types for which type counters are maintained is checked through function \texttt{CrFwOutStreamIsInDtsSet}. The set of destinations associated to an OutStream is accessed through function \texttt{CrFwOutStreamGetDest}|The functions to check the number of pending packets and the size of the Packet Queue are verified in \texttt{CrFwOutStreamTestCase1} and  \texttt{CrFwOutStreamTestCase3}.|
OST|07|C|The OutStream shall be used with a middleware which satisfies the Middleware Assumptions A1 to A5.|||
OST|08|C|An OutStream shall be responsible for handling all packets going to one or more destinations (i.e. all packets going to the same destination go through the same OutStream)|||
OST|09|C|This requirement has been deleted|||
OST|10|C|This requirement has been deleted|||
OST|11|C|An OutStream shall only enter state CONFIGURED when its middleware connection has become AVAILABLE.|||
