ReqN|ReqTitle|ReqText|Status|Justification||||
5.3.3.2a|Request Type|Each request type shall define one or more instruction types.|C1/C2|For pre-defined services, the PUS definition is followed. For application-dependent services, the user is responsible for providing the information requested in this requirement. ||||
b||Each instruction type shall be defined for exactly one request type.|C1/C2|See justification of first requirement in this clause||||
c||Each instruction type shall be uniquely identified by exactly one instruction type name.|C1/C2|See justification of first requirement in this clause||||
d||For each request type and for each instruction type of that request type, whether that request type provides a single instruction slot or multiple instruction slots for that instruction type shall be declared when specifying that request type.|C2|For requests which may include multiple instructions, the PUS Extension does not impose any upper boundary on the number of instructions in a command. Any such upper boundary must be imposed by the user (e.g. in the command database).||||
e||For each request type that contains several instruction types, the allowed combinations of instruction types that can be used in a request of that request type shall be declared when specifying that request type.|C1|For all services pre-defined by the PUS Extension, when a request instance may contain multiple instructions, then those instructions are all of the same type (TBC).||||
f||For each instruction type, the instruction arguments used by that instruction type, their definition and their ordering within the instruction type shall be declared when specifying that instruction type.|C1/C2|The complete layout of a request must be defined as part of the definition of a command (see adaptation points OCM-12 and ICM-21)||||
g||For each request type that provides multiple instruction slots, if that request type constrains the scope of the instructions that can be issued within a request of that type, the argument or set of arguments of the related instruction types that define that scope shall be grouped together in the definition of the request type.|TBC|This requirement is not understood. It presumably refers to a situation where a multi-instruction request carries parameters which apply to all instructions in the request. The requirement states that those parameters must be grouped together. If this interpretation is correct, then the services pre-defined by the PUS Extension are compliant.||||
h||For each request type, the definition of the request arguments provided by that request type, their definition and their ordering within the request type shall be declared when specifying that request type.|C1/C2|See justification requirement f in this clause.||||
5.3.3.3a|Report Type|Each report type shall either be: \newline 1. a data report type, \newline 2. a verification report type, or \newline 3. an event report type.|C1/C2|For pre-defined services, the report types are taken over from the PUS. For other services, the report type is under the control of the application developer through adaptation points OCM-*.||||
b||Each report type shall define exactly one notification type.|C1/C2|In the CORDET Framework, notifications are implicitly defined within reports||||
c||Each notification type shall be defined for exactly one report type.|C1/C2|See justification of first requirement in this clause||||
d||Each notification type shall be uniquely identified by exactly one notification type name.|C1/C2|See justification of first requirement in this clause||||
e||For each report type and for each notification type of that report type, whether that report type provides a single notification slot or multiple notification slots for that notification type shall be declared when specifying that report type.|C1/C2|See justification of first requirement in this clause||||
5.3.4a|Capability Type|Each subservice type shall define at least one capability type.|C1/C2|The capability types are defined implicitly when a service is defined. For the pre-defined services, the PUS Extension follows the PUS.||||
b||For each capability type defined by a subservice type, the applicability constraints of that capability type shall be declared when specifying that subservice type.|C2|The CORDET Framework does not enforce any compatibility constraints. These must be enforced by users during the instantiation process||||
5.3.5.1a|Transaction Type|Each transaction type shall be defined by exactly one capability type.|NA|This requirement does not concern the implementation of the services and it therefore has no impact on the PUS Extension of the CORDET Framework||||
b||Each transaction type shall either be: \newline 1. a request related transaction type, \newline 2. an autonomous data reporting transaction type, or \newline 3. an event reporting transaction type.|NA|See justification of previous requirement.||||
5.3.5.2.1a|Request related transaction type|Each request related transaction type shall involve exactly one request type.|C1|The CORDET Framework only defines individual commands and report. The PUS Extension implicitly defines transactions when it specifies links between a command and the reports it triggers or when it specified the conditions under which data or event reports are generated. Compliance with the requirement is guaranteed for the services pre-defined by the PUS Extension which follow the PUS. ||||
b||Each request type shall be involved in exactly one request related transaction type.|C1|See justification of previous requirement.||||
5.3.5.2.2a|Response Type|Each request type shall be linked to at most one data report type.|C1|See justification of first requirement of clause 5.3.5.2.1||||
b||For each instruction type that is linked to a notification type, whether a realization of that instruction type can cause the generation of multiple notifications shall be declared when specifying that instruction type.|C1|See justification of first requirement of clause 5.3.5.2.1||||
5.3.5.2.3a|Execution verification profile|For each request type, the pre-conditions to verify prior to starting the execution of each request of that type shall be declared when specifying that request type.|C1|The condition to start execution of a command are verified in the command's Start Action (adaptation points ICM-8)||||
b||For each instruction type, the pre-conditions to verify prior to starting the execution of each instruction of that type shall be declared when specifying that instruction type.|C1|The CORDET Framework does not directly implement the concept of instructions. Instructions are therefore implicitly embedded within commands. Verification of their execution pre-conditions can be done either as part of a command's Start Action (adaptation point ICM-8) or as part of the the command's Progress Action (adaptation point ICM-9). For the commands pre-defined by the PUS Extension, the first option has been selected and the pre-conditions for execution of a command are verified as part of that command’s Start Action.||||
c||For each request type that provides a multiple instruction slots capability, whether the subservice verifies the suitability of all instructions contained within each request of that type before authorizing the start of execution of that request shall be declared when specifying that request type.|C1/C2|For the services PUS Extension, the rules stated in the PUS are followed. For other services, users choose between these two options when they Implement the Start Action of a command.||||
d||For each instruction type, the conditions to verify during the execution of each instruction of that type shall be declared when specifying that instruction type.|C1/C2|See justification of previous two requirements||||
e||For each instruction type, the post-conditions to verify at the end of the execution of each instruction of that type shall be declared when specifying that instruction type.|C1|The post-conditions of an instruction can be verified either in the Progress Action (adaptation point ICM-9) or in the Termination Action (adaptation point ICM-10). For commands pre-defined by the PUS Extension, the second option has been chosen.||||
f||For each request type, the post-conditions to verify at the end of the execution of each request of that type shall be declared when specifying that request type.|C1|The post-conditions of a request must be verified in the Termination Action of a command (adaptation point ICM-10). ||||
g||For each request type, the execution verification profile used to report the start, progress and completion of execution of each request of that type shall be declared when specifying that request type.|C1|The execution verification profile of a request is specified when the Start Action, Progress Action and Termination Action of a command are specified (adaptation points ICM-8, 9 and 10). Adaptation point ICM12 to 17 can be used to specify how the notifications of the verification outcomes should be handled.||||
h||Each progress of execution notification shall provide the means to uniquely identify the instruction that progress of execution is notified.|C1|The progress of execution notifications are generated through calls to the Operation to Report Progress Success for InCommand and the Operation to Report Progress Failed for InCommand (adaptation points ICM-14 and 15). These operations take the command identifier and the execution step identifier as arguments. The latter can be used to identify the instruction which failed or succeeded.||||
I||For each instruction type, the functionality that the subservice performs when executing an instruction of that type shall be declared when specifying that instruction type.|C1|The functionality executed when a command is executed is defined by the Progress Action of the command which holds the instruction (adaptation points ICM-9). This action therefore implements both the request-level and instruction level actions.||||
j||For each request type, the request-specific functionality that the subservice performs when executing a request of that type shall be declared when specifying that request type.|C1|See previous requirement||||
5.3.5.3a|Autonomous data reporting transaction type|Each autonomous data reporting transaction type shall involve exactly one data report type.|C1|The CORDET Framework does not enforce this constraint. For the services in the PUS Extension, the rules of the PUS are followed and the constraint is therefore satisfied. ||||
b||Each data report type shall be involved in at most one autonomous data reporting transaction type.|C1|See justification of first requirement in this clause||||
5.3.5.4a|Event reporting transaction type|Each event reporting transaction type shall involve exactly one event report type.|C1|The CORDET Framework does not enforce this constraint. For the services in the PUS Extension, the rules of the PUS are followed and the constraint is therefore satisfied. ||||
b||Each event report type shall be involved in exactly one event reporting transaction type.|C1|See justification of first requirement in this clause||||
5.3.6|Tailoring the generic service type abstraction level|Tailoring the generic service type abstraction level shall consist of:  \newline 1. adding mission-specific service types; \newline 2. adding mission-specific subservice types; \newline 3. adding mission-specific capability types; \newline 4. adding mission-specific message types.|C2|The CORDET Framework allows new service types and sub-types to be added through adaptation points OCM-* and ICM-*. For each new service, mission-specific capabilities and messages can be associated. Capability and message types are defined implicitly through the definition of the service types and sub-types.||||
5.4.2.1a|Application process|Each application process shall either be: \newline 1. an on-board application process, or \newline 2. a ground application process.|C1|The way PUS-style application processes are implemented in the CORDET Framework is discussed in section 3.5 of the CORDET User Manual||||
b||Each application process that hosts at least one subservice provider shall be identified by an application process identifier that is unique across the system that hosts that subservice provider.|C2|Applications can customize the factory components which create the packets representing commands and reports (adaptation points FAC-1) such that they fill in the header information in the packets in accordance with their allocation of APIDs.||||
c||Each application process identifier shall be an unsigned integer that is less than or equal to 2046.|C2|See justification of previous requirement.||||
d||Each application process that hosts at least one subservice user shall be identified by an application process user identifier that is unique within the context of the overall space system.|C1|The application process user identifier of a service user is the source of commands issued by that service user and the destination of reports received by that service user. This can be mapped to the concept of command source and report destination (see section 4 of the CORDET Framework Definition Document). ||||
e||Each application process user identifier shall be an unsigned integer that is greater than or equal to 0, and less than or equal to 65535.|C1|See justification of previous requirement.||||
f||For each report that it generates, each on-board application process shall time tag that report using the on-board reference time.|C1|The time-stamp of out-going components is set by the Send Packet Procedure of the OutComponent of the CORDET Framework (see section 6.1.1 of the CORDET Framework Definition Document).||||
g||For each application process, whether that application process time tags the reports before collecting the values of the constituting parameters or after shall be declared when specifying that application process.|C1|In the CORDET Framework, the time-stamp of a report represents the time when an application makes a request to issue that report (this is after the report data have been collected). See section 4.2.1 of the CORDET Framework Definition Document.||||
h||For each application process, whether that application process provides the capability to report the status of the on-board time reference used when time tagging reports shall be declared when specifying that application process.|NA|The CORDET Framework defines an interface for acquiring the current time (see adaptation point C2-TIM-1 in [CR-UM]) but it does not include an interface for acquiring the status of the on-board time reference. This capability, if required, must be provided entirely at application level.||||
I||For each application process, whether that application process provides the capability to count the type of generated messages per destination and report the corresponding message type counter shall be declared when specifying that application process.|C1|The OutStream components maintain counters of out-going commands and reports sent to their destination (there is one OutStream for each destination). See section 5.2.1 of the CORDET Framework Definition Document. The framework however does not, by default, provide the capability to count the number of messages of a given type sent to a given destination.||||
j||Each application process that provides the capability to count the type of generated messages per destination and report the corresponding message type counter shall maintain, per destination, a counter for each message type that it generates.|C1|See justification of previous requirement.||||
5.4.3.2a|On-board parameter|Each on-board parameter shall be identified by exactly one on-board parameter identifier that is unique across the entire spacecraft.|C2|The PUS Extension of the CORDET Framework maps on-board parameters to the Data Items in the Data Pool Component. The application developer is responsible for defining the Data Items (see adaptation point DP-7) and this includes the allocation of their identifiers.||||
b||The set of on-board parameter minimum sampling intervals used to access the on-board parameters shall be declared when specifying the spacecraft architecture.|C2|The PUS Extension of the CORDET Framework does not enforce a minimum sampling time. This mus be enforced by the application. Note that the definition of service 3 includes the definition of a minimum collection period for housekeeping reports (HK\_COLLECT\_PER)||||
c||Each on-board parameter shall be associated to exactly one on-board parameter minimum sampling interval.|C2|See justification of requirement b in this clause||||
d||All on-board parameters accessed by an application process shall be associated to the same on-board parameter minimum sampling interval.|C2|See justification of requirement b in this clause||||
5.4.3.3.1a|On-board memory|Each on-board memory shall be identified by exactly one on-board memory identifier.|C2|The on-board memory identifiers and the characteristics of the on-board memories are defined as part of the instantiation of service 6. See adaptation points TBD.||||
b||At any time, each on-board memory identifier shall uniquely identify exactly one on-board memory that is unique across the entire spacecraft.|C2|See justification of first requirement in this clause||||
c||For each on-board memory, the following characteristics of that memory shall be declared when specifying that memory: \newline 1. the memory access alignment constraint; \newline 2. the memory size, in bytes; \newline 3. the allowed operations; \newline 4. the addressing scheme.|C2|See justification of first requirement in this clause||||
d||When declaring the characteristics of an on-board memory, the allowed operations shall be one of the following: \newline 1. 'read only'; \newline 2. 'read and write'; \newline 3. 'write only'.|C2|See justification of first requirement in this clause||||
e||For each on-board memory, whether scrubbing that memory is supported shall be declared when specifying that memory.|C2|See justification of first requirement in this clause||||
f||For each on-board memory, whether write protecting that memory is supported shall be declared when specifying that memory.|C2|See justification of first requirement in this clause||||
5.4.3.3.2a|Addressing Scheme|For each on-board memory, whether an absolute addressing scheme for that memory is exposed in the space to ground interface shall be declared when specifying that memory.|C2|See justification of first requirement in the previous clause||||
b||Absolute addressing implies that the memory addresses and related offsets shall be expressed in bytes.|C2|See justification of first requirement in the previous clause||||
c||For each on-board memory, whether a base plus offset addressing scheme for that memory is exposed in the space to ground interface shall be declared when specifying that memory.|C2|See justification of first requirement in the previous clause||||
d||Base plus offset addressing implies that the base references when expressed as an absolute address and related offsets shall be expressed in bytes.|C2|See justification of first requirement in the previous clause||||
5.4.3.4a|Virtual channel|The list of virtual channels defined for downlinking reports and their characteristics shall be declared when specifying the space to ground interface.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework||||
b||For each virtual channel defined for downlinking reports, the virtual channel identifier used to refer to that virtual channel shall be declared when specifying that virtual channel.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework||||
5.4.4|Checksum algorithm|For each checksum algorithm used on-board, the list of subservice providers that use that checksum algorithm shall be declared when specifying the spacecraft architecture.|C2|In the PUS Extension of the CORDET Framework, the checksumming of commands and reports is not explicitly modelled and it must be provided by the application in order to compute the CRC field of commands and reports.||||
5.4.5a|On-board file system|Each on-board file system shall be identified by exactly one on-board file system identifier that is unique across the entire spacecraft.|C2|The on-board file system and their characteristics are defined as part of the instantiation of service 23. See adaptation points TBD.||||
b||Each object in an on-board file system shall be uniquely identified by an object path that is the combination of a repository path and an object name.|C2|See justification of first requirement in this clause||||
c||For each on-board file system, whether that file system supports files with unbounded size shall be declared when specifying that file system.|C2|See justification of first requirement in this clause||||
v||The set of file attributes supported by each on-board file system shall be declared when specifying that file system.|C2|See justification of first requirement in this clause||||
e||For each on-board file system, whether that file system provides the capability to lock files shall be declared when specifying file system.|C2|See justification of first requirement in this clause||||
f||An on-board file system shall not be accessed by more than one file management service.|C2|See justification of first requirement in this clause||||
5.4.6a|Service|Each service shall be of exactly one service type.|C1|To each CORDET Service, one single type attribute is assigned (see section 4.1.1 of the CORDET Framework Definition Document)||||
b||For each subservice type whose realization is implicitly required, each service of the related service type shall provide at least one subservice of that subservice type.|C2|The PUS Extension of the CORDET Framework does not enforce this requirement. It is up to the user to instantiate services which are implicitly required.||||
c||For each subservice type whose realization is required by tailoring and for each service of the service type that defines that subservice type, whether the realization of that subservice type is required for that service shall be declared when specifying that service.|C2|See justification of requirement b in this clause||||
d||For each subservice type that allows multiple realizations within a single service, each realization of that subservice type shall be declared when specifying that service.|C2|See justification of requirement b in this clause||||
e||The service topology of the overall space system shall be declared when specifying the space system architecture.|C1|The service topology of a CORDET System is defined by several adaptation points and application developers are required to fill in all framework adaptation points (or accept their default implementation) as part of the application instantiation process||||
5.4.7.1a|Subservice|Each subservice shall be of exactly one subservice type.|NA|This and the next requirement are definitions rather than requirement. ||||
b||Each subservice shall belong to exactly one service.|NA|See justification of first requirement in this clause||||
5.4.7.2.1a|Subservice Entity|Each subservice entity shall belong to exactly one subservice.|NA|This and the next two requirements are definitions rather than requirement. ||||
b||Each subservice entity shall be hosted by exactly one application process.|NA|See justification of first requirement in the previous clause||||
c||Each subservice entity shall be either a subservice user or a subservice provider.|NA|See justification of first requirement in the previous clause||||
5.4.7.2.2a|Subservice Provider|Each subservice shall provide exactly one subservice provider.|NA|This requirement is a definition rather than a requirement||||
5.4.7.2.3a|Subservice User|Each subservice shall provide at least one subservice user.|NA|This requirement is a definition rather than a requirement||||
5.4.8a|Capability|Each subservice shall provide at least one subservice capability.|NA|This requirement is a definition rather than a requirement||||
5.4.8b||For each subservice and for each capability type defined by the corresponding subservice type, the inclusion of the related capability in that subservice shall comply with the applicability constraints of that capability type.|TBD|This requirement is not understood||||
5.4.9a|Failed progress of execution|For each request type for which a failed progress of execution can be reported, whether the corresponding failed progress of execution notifications are reported within failed progress of execution verification reports or as part of the completion of execution verification report for the related requests shall be declared when specifying the request type related subservice.|C1|The CORDET Framework supports both options but the option whereby the failed progress of execution is reported through a Failed Progress of Execution Notification is the most natural and it is the one which is selected by default in the PUS Extension.||||
5.4.10a|Transactions|Each subservice shall provide the means to manage all transactions that it initiates according to the mission operational requirements.|C1/C2|The CORDET Framework provides the means to manage incoming and out-going reports and commands. The PUS Extension implements the transaction rules mandated by the PUS.||||
b||Each transaction shall be initiated and maintained by exactly one subservice.|C1|See justification of previous requirement.||||
5.4.11.1a|Message|Each message shall be of a single message type.|C1| message is either a report or a request and its type is defined by the pair [service type, service sub-type]. The CORDET Framework directly supports the concepts of service types and sub-types and assigned one single type/sub-type pair to each message.||||
5.4.11.2.1a|Request|Each request shall be generated by exactly one subservice user.|C1|The CORDET Framework allows a command to have one single source.||||
b||Each request shall be addressed to exactly one subservice provider.|C1|The CORDET Framework allows a command to have only one single destination.||||
c||Each request shall be uniquely identified by a request identifier that is the combination of: \newline 1. a source identifier that corresponds to the application process user identifier of the application process that hosts the subservice user that generates that request; \newline 2. a destination identifier that corresponds to the combination of the application process identifier of the application process that hosts the subservice provider that is responsible for executing that request and the system identifier of the system that hosts that application process; \newline 3. a sequence count or request name that is produced by the application process that hosts the subservice user.|C1|CORDET Commands carry dentifiers of both their source and destination and a source sequence counter (see section 4.1 of the CORDET Framework Definition Document)||||
d||Each request shall be of exactly one request type.|C1|The type of a request is given by the pair [service type, service sub-type]. The CORDET Framework directly supports both the concept of service type and of service sub-type.||||
e||Each request whose request type provides a single instruction slot shall contain exactly one instruction that is of an instruction type defined for that request type.|C1|The PUS Extension defines request and instruction types in accordance with the PUS||||
f||Each request whose request type provides multiple instruction slots shall contain an ordered list of one or more instructions, each one being of an instruction type defined for that request type.|C1|The PUS Extension defines request and instruction types in accordance with the PUS||||
5.4.11.2.2a|Acknowledgement|Each request shall contain: \newline 1. a flag indicating whether the reporting of the successful acceptance of that request by the destination application process is requested; \newline 2. a flag indicating whether the reporting of the successful start of execution of that request by the destination application process is requested; \newline 3. a flag indicating whether the reporting of the successful progresses of execution of that request by the destination application process is requested; \newline 4. a flag indicating whether the reporting of the successful completion of execution of that request by the destination application process is requested.|C1|CORDET commands carry four acknowledgement flags which determined which of the four stages of their life-cycle (acceptance, start, progress, and termination) are acknowledged (see section 4.1 of the CORDET Framework Definition Document)||||
5.4.11.2.3a|Request execution verification|For each request that it receives, the subservice provider in charge of the execution of that request shall, in sequence: \newline 1. if the pre-conditions for the execution of that request are not fulfilled: \newline (a) notify the execution reporting subservice of its parent application process of the failed start of execution; \newline (b) stop processing that request; \newline 2. if the pre-conditions for the execution of that request are fulfilled, \newline notify the execution reporting subservice of its parent application process of the successful start of execution; \newline 3. for each step, if any: \newline (a) verify the execution conditions of that step, if any; \newline (b) if the execution conditions of that step are not fulfilled, notify the execution reporting subservice of its parent application process of the failed progress of execution of that step; \newline (c) if the step's execution conditions are fulfilled, notify the execution reporting subservice of its parent application process of the successful progress of execution of that step; \newline at the end of the execution of that request: newline (a) verify the post-conditions of execution, if any; \newline (b) if any step execution has failed or if the post-conditions of execution are not fulfilled, notify the execution reporting subservice of its parent application process of the failed completion of execution and stop processing that request; \newline (c) if the post-conditions of execution are fulfilled, notify the execution reporting subservice of its parent application process of the successful completion of execution;|C1|The life-cycle of a CORDET command in a service provider is defined in section 4.1 of the CORDET Framework Definition Document. As requested by this requirement, start, progress and completion of execution of a command are checked and notification may be sent out in response to these checks (see adaptation points ICM-12 to 17). However, failure of a progress step leads to termination of execution of the command. In such a case (failure of a progress step), the originator of the request is notified with one single failure report indicating the failure of the progress and, by implication, also the failure of the command completion. \newline This requirement only concerns reporting of verification outcomes for \underline{commands}. The PUS is silent about the conditions under which the outcome of instruction-level verifications should be reported. In this respect, the PUS Framework takes the  approach that, for instructions, only execution failures are reported and that they are reported unconditionally. ||||
5.4.11.3.1a|Report|Each report shall be generated by exactly one subservice provider.|C1|In the CORDET Framework, both reports and commands have one single source||||
b||Each report shall be addressed to exactly one subservice user.|C1|In the CORDET Framework, both reports and commands have one single destination||||
c||Each report shall be uniquely identified by a report identifier that is the combination of: \newline 1. a source identifier that is the application process identifier of the application process that hosts the subservice provider that generates that report; \newline 2. a destination identifier that corresponds to the application process user identifier of the application process that hosts the subservice user that is responsible for processing that report; \newline 3. a source sequence count that is produced by the application process that hosts the subservice provider.|C1|CORDET reports carry identifiers of both their source and destination and a source sequence counter (see section 4.2 of the CORDET Framework Definition Document)||||
d||Each report shall be of exactly one report type.|C1|The type of a CORDET report is given by the pair [type, sub-type].||||
e||Each report whose report type provides a single notification slot shall contain exactly one notification that is of a notification type defined for that report type.|C1|The PUS Extension defines report and notification types in accordance with the PUS||||
f||Each report whose report type provides multiple notification slots shall contain an ordered list of one or more notifications, where: \newline 1. all notifications in the list are of the same notification type, and \newline 2. that notification type is one of those defined for that report type.|C1|The PUS Extension defines report and notification types in accordance with the PUS||||
5.4.11.3.2a|Response|The destination of any response shall be the source of the corresponding request.|C1/C2|For pre-defined services, the PUS is followed. For application-specific services, this requirement must be enforced by application developers when they close adaptation point OCM-9.||||
||If a request implies the generation of a response that exceeds the length that can be carried in a telemetry packet of the maximum packet size of the CCSDS space packet protocol, that request shall be rejected.|C1/C2|For pre-defined services, the PUS is followed. For application-specific services, this requirement must be enforced by application developers when they define the Start Action for commands (see adaptation point ICM-12).||||
5.4.11.3.3a|Data Report|For each data report that can be generated in an autonomous data reporting transaction, the destination of the data report in that case shall be declared when specifying the related subservice.|C1/C2|For pre-defined services, the PUS is followed. For application-specific services, this requirement must be enforced by application developers when they close adaptation point OCM-9.||||
5.4.12a|Building the space system architecture|Deploying the service topology of an overall space system should consist of: \newline 1. specifying new implementations of PUS services by instantiating the service types and related components; \newline 2. assessing the adequacy of reusing existing service implementations: (a) ensuring their compliance to the PUS standard services; \newline (b) verifying their compliance to the overall system constraints.|NA|This requirement does not concern the implementation of the services and is therefore outside the scope of the PUS Extension of the CORDET Framework||||
6.1.2.1a|Request Verification|Each request verification service shall contain at least one of the following: \newline 1. one or more routing and reporting subservices, \newline 2. one or more acceptance and reporting subservices, \newline 3. one or more execution reporting subservices.|C1|The PUS Extension of the CORDET Framework provides adaptation points which allow an application to deploy: \newline (a) one routing and reporting subservice (this is part of the InLoader component which, in the CORDET Framework, is responsible for routing incoming packets, see adaptation points ILD-9, 11 and 12 in [CR-SP] ); \newline (b) one acceptance and reporting sub-service (this is part of the InLoader Load Command/Report Procedure which, in the CORDET Framework is responsible for the acceptance of incoming packets, see adaptation points ILD-14 and 15); and (c) one execution reporting sub-service for each command type (since, in the CORDET Framework, execution checks and reporting of their outcomes are done in the InCommand components which encapsulate incoming commands, see adaptation points ICM-12 to 17). The PUS Extension closes these adaptation points to provide an implementation which conforms to the requirements of service 1 in the PUS.||||
6.1.2.2.1a|Destination of verification reports|For each verification report that it generates, the application process shall address that report to the application process that hosts the subservice user that has generated the corresponding request.|C1|See close-out of adaptation point P-S1-10||||
6.1.2.2.2a|Application process that routes requests|Each application process that is involved in routing requests shall host exactly one routing and reporting subservice.|C1|See justification of clause 6.1.2.1a||||
6.1.2.2.3a|Application process that executes requests|Each application process that hosts one or more subservices that execute requests shall host: \newline 1. exactly one acceptance and reporting subservice; \newline 2. at most one execution reporting subservice.|C1|See justification of clause 6.1.2.1a. ||||
6.1.3.1.1a|Application Process|The list of application processes that the routing and reporting subservice addresses shall be declared when specifying the spacecraft architecture.|C2|This list is implicitly declared when, during the framework instantiation process, the adaptation point ILD-11 of the CORDET Framework is closed.||||
6.1.3.2a|Routing verification of a request|The routing and reporting subservice shall provide the capability to perform routing verification for the requests that it receives.|C1|In the CORDET Framework, routing of incoming packets is done by the InLoader component (see [CR-SP]). This component also verifies the validity of the command destination and routing information.||||
b||The list of routing verification checks that the routing and reporting subservice performs shall be declared when specifying that subservice.|C1|In the CORDET Framework, routing of incoming packets is done by the InLoader component (see [CR-SP]) which performs one single routing check to verify the validity of an incoming command or report. This check is implemented by closing adaptation point ILD-11.||||
c||For each request that it receives, the routing and reporting subservice shall: \newline 1. perform the routing verification checks on that request; \newline 2. determine, based on the output of those checks, whether the routing verification of that request has succeeded or failed.|C1|In the CORDET Framework, routing verification is performed by the InLoader. The routing check is implemented by closing adaptation point ILD-11 and the reporting of a routing failure is implemented by closing adaptation point ILD-12. The PUS Extension offers a component which closes adaptation point ILD-12 by generating a (1,10) report.||||
6.1.3.3a|Reporting Failed Routing|The routing and reporting subservice shall provide the capability to report the failed routing of requests.|C1|This capability is provided by the VerFailedRoutingRep component of the PUS Extension of the CORDET Framework||||
||Each failed routing verification report shall contain exactly one failed routing notification.|C1|See definition of VerFailedRoutingRep component of the PUS Extension of the CORDET Framework.||||
||Each failed routing notification shall contain: \newline 1. the identifier of the request that failed the routing verification; \newline 2. the failure notice made of: \newline (a) a failure code; \newline auxiliary data, if any, used to explain the reason for the failed routing.|C1|The specification of the (1,10) report provided by the PUS Extension follows the PUS. The auxiliary information is specified in the Packet Rerouting Failure Procedure.||||
||The list of failure codes defined for failed routing notifications shall be declared when specifying the routing and reporting subservice.|C1|The list of failure codes and their auxiliary data for service 1 reports is specified in appendix B of the PUS Specification Document||||
||For each failure code defined for failed routing notifications, the associated auxiliary data shall be declared when specifying the routing and reporting subservice.||See previous requirement||||
||For each request that fails its routing verification, the routing and reporting subservice shall: \newline 1. generate a single failed routing notification and associated report for that request; \newline 2. discard that request.|C1|See definition of Packet Rerouting Failure Procedure||||
6.1.4.1a|Acceptance verification of a request|The acceptance and reporting subservice shall provide the capability to perform acceptance verification for a request that it receives.|C1|In the CORDET Framework, the acceptance verification is performed by the InLoader Load Command/Report Procedure. Incoming commands are encapsulated in components of type InCommand. Each such component offers a Configuration Check (see adaptation point ICM-3) where the acceptance verification check is implemented. For the commands provided by the PUS Extension of the CORDET Framework, the verification check is specified at adaptation point P-PCR-21. ||||
